date,2317,2330,2454,portfolio_value
2013-07-08,73.4,105.0,349.0,527.4
2013-07-05,74.6,109.0,345.5,529.1
2013-07-04,72.6,107.0,330.0,509.6
2013-07-03,73.2,107.0,335.5,515.7
2013-07-02,73.3,110.0,341.5,524.8
2013-07-01,74.1,108.0,345.0,527.1
2013-06-28,74.0,111.0,348.5,533.5
2013-06-27,73.0,104.5,328.0,505.5
2013-06-26,73.0,101.5,328.0,502.5
2013-06-25,70.2,101.0,314.0,485.2
2013-06-24,70.3,101.0,309.0,480.3
2013-06-21,70.0,103.5,330.0,503.5
2013-06-20,70.7,104.0,342.5,517.2
2013-06-19,72.0,105.5,351.5,529.0
2013-06-18,71.5,106.5,355.5,533.5
2013-06-17,71.1,106.0,354.0,531.1
2013-06-14,72.6,106.0,352.0,530.6
2013-06-13,73.4,104.5,361.0,538.9
2013-06-11,75.0,108.0,366.5,549.5
2013-06-10,76.2,108.5,376.0,560.7
2013-06-07,75.2,108.5,370.0,553.7
2013-06-06,75.0,107.5,366.5,549.0
