Date,Open,High,Low,Close,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband
2023-07-12,574.0,578.0,572.0,578.0,566.9573974609375,15588228,578.75,52.2222,578.75,8.5155,595.781,561.719
2023-07-13,587.0,590.0,585.0,585.0,573.8236694335938,25442137,578.35,44.8718,578.35,7.9821,594.3142,562.3858
2023-07-14,589.0,591.0,587.0,591.0,579.708984375,23121873,578.4,50.6173,578.4,8.0616,594.5232,562.2768
2023-07-17,588.0,591.0,587.0,591.0,579.708984375,13807834,578.4,50.0,578.4,8.0616,594.5232,562.2768
2023-07-18,587.0,588.0,580.0,581.0,569.9000244140625,20932006,578.0,45.4545,578.0,7.6983,593.3966,562.6034
2023-07-19,584.0,587.0,579.0,581.0,569.9000244140625,22499123,577.9,48.7805,577.9,7.6427,593.1854,562.6146
2023-07-20,580.0,584.0,578.0,579.0,567.938232421875,15108109,577.7,47.619,577.7,7.554,592.808,562.592
2023-07-21,560.0,563.0,557.0,560.0,549.30126953125,46711021,576.65,39.604,576.65,8.4746,593.5992,559.7008
2023-07-24,557.0,563.0,557.0,558.0,547.3394775390625,25268835,575.85,41.6667,575.85,9.4383,594.7266,556.9734
2023-07-25,561.0,569.0,561.0,569.0,558.1293334960938,19590349,575.7,48.5714,575.7,9.5261,594.7522,556.6478
2023-07-26,569.0,571.0,563.0,566.0,555.1865844726562,13314305,575.3,46.2264,575.3,9.7662,594.8324,555.7676
2023-07-27,570.0,570.0,566.0,569.0,558.1293334960938,12200358,575.1,48.1481,575.1,9.8563,594.8126,555.3874
2023-07-28,569.0,573.0,565.0,567.0,556.16748046875,18540078,574.65,45.7944,574.65,10.0172,594.6844,554.6156
2023-07-31,575.0,575.0,560.0,565.0,554.2057495117188,24208467,573.95,43.3962,573.95,10.185,594.32,553.58
2023-08-01,565.0,568.0,564.0,567.0,556.16748046875,16259643,573.05,41.1765,573.05,9.9497,592.9494,553.1506
2023-08-02,567.0,569.0,558.0,561.0,550.2821044921875,25583234,572.0,40.0,572.0,10.063,592.126,551.874
2023-08-04,556.0,560.0,552.0,554.0,543.4158935546875,26279173,571.45,44.2105,571.45,10.7433,592.9366,549.9634
2023-08-07,558.0,561.0,556.0,558.0,547.3394775390625,14369551,571.1,46.4646,571.1,11.0734,593.2468,548.9532
2023-08-08,558.0,558.0,551.0,552.0,541.4540405273438,19010690,570.45,43.8095,570.45,11.8076,594.0652,546.8348
2023-08-09,550.0,557.0,550.0,554.0,543.4158935546875,14389090,569.3,37.8947,569.3,12.2479,593.7958,544.8042
2023-08-10,552.0,554.0,550.0,551.0,540.4732055664062,17892615,567.95,36.0825,567.95,12.7175,593.385,542.515
2023-08-11,556.0,558.0,546.0,546.0,535.5686645507812,17608427,566.0,29.4737,566.0,12.9534,591.9068,540.0932
2023-08-14,540.0,543.0,537.0,541.0,530.6642456054688,20939030,563.5,23.4043,563.5,12.6969,588.8938,538.1062
2023-08-15,543.0,545.0,540.0,542.0,531.6451416015625,14066307,561.05,24.2105,561.05,11.8076,584.6652,537.4348
2023-08-16,541.0,543.0,536.0,542.0,531.6451416015625,28269840,559.1,27.0588,559.1,11.5572,582.2144,535.9856
2023-08-17,540.0,546.0,537.0,544.0,533.6068725585938,22843138,557.25,28.7356,557.25,10.8039,578.8578,535.6422
2023-08-18,540.0,544.0,539.0,539.0,528.702392578125,17592345,555.25,27.7778,555.25,10.254,575.758,534.742
2023-08-21,544.0,544.0,534.0,537.0,526.7406616210938,16633821,554.1,34.2466,554.1,10.9588,576.0176,532.1824
2023-08-22,544.0,544.0,538.0,541.0,530.6642456054688,14594304,553.25,38.6667,553.25,11.2945,575.839,530.661
2023-08-23,546.0,552.0,544.0,552.0,541.4540405273438,20636332,552.4,38.6667,552.4,10.6692,573.7384,531.0616
2023-08-24,563.0,564.0,558.0,564.0,553.224853515625,23280827,552.3,48.8095,552.3,10.5436,573.3872,531.2128
2023-08-25,549.0,551.0,546.0,546.0,535.5686645507812,24144537,551.15,38.3838,551.15,9.8583,570.8666,531.4334
2023-08-28,547.0,553.0,547.0,549.0,538.5113525390625,8991985,550.25,41.0,550.25,9.1299,568.5098,531.9902
2023-08-29,551.0,553.0,546.0,552.0,541.4540405273438,10516678,549.6,43.5644,549.6,8.4629,566.5258,532.6742
2023-08-30,558.0,560.0,554.0,555.0,544.3967895507812,15117416,549.0,44.1176,549.0,7.5394,564.0788,533.9212
2023-08-31,553.0,556.0,548.0,549.0,538.5113525390625,40431378,548.4,44.1176,548.4,6.9917,562.3834,534.4166
2023-09-01,543.0,553.0,543.0,548.0,537.5304565429688,13669766,548.1,46.875,548.1,6.8664,561.8328,534.3672
2023-09-04,549.0,557.0,549.0,557.0,546.3585815429688,9531157,548.05,49.505,548.05,6.7938,561.6376,534.4624
2023-09-05,553.0,555.0,550.0,552.0,541.4540405273438,12220686,548.05,50.0,548.05,6.7938,561.6376,534.4624
2023-09-06,556.0,556.0,550.0,550.0,539.4923095703125,14067008,547.85,48.0,547.85,6.6671,561.1842,534.5158
2023-09-07,546.0,548.0,542.0,542.0,531.6451416015625,20717005,547.4,45.7143,547.4,6.7465,560.893,533.907
2023-09-08,535.0,540.0,535.0,539.0,528.702392578125,15283568,547.05,46.6019,547.05,6.9998,561.0496,533.0504
2023-09-11,539.0,540.0,536.0,536.0,525.759765625,14631968,546.8,47.5248,546.8,7.3097,561.4194,532.1806
2023-09-12,536.0,545.0,536.0,544.0,533.6068725585938,16028336,546.9,50.9259,546.9,7.254,561.408,532.392
2023-09-13,545.0,548.0,541.0,541.0,530.6642456054688,16191392,546.85,49.5495,546.85,7.2929,561.4358,532.2642
2023-09-14,544.0,550.0,543.0,550.0,542.5006103515625,17144287,547.15,52.5424,547.15,7.2929,561.7358,532.5642
2023-09-15,549.0,558.0,547.0,558.0,550.3915405273438,42517441,548.1,57.8512,548.1,7.4119,562.9238,533.2762
2023-09-18,548.0,549.0,540.0,540.0,532.636962890625,36684692,548.25,51.0949,548.25,7.2029,562.6558,533.8442
2023-09-19,539.0,543.0,538.0,538.0,530.6642456054688,18901683,548.1,48.8889,548.1,7.3906,562.8812,533.3188
2023-09-20,536.0,538.0,535.0,535.0,527.7051391601562,24635567,547.25,43.3071,547.25,7.8799,563.0098,531.4902
2023-09-21,530.0,531.0,526.0,527.0,519.814208984375,32012694,545.4,34.9593,545.4,8.0812,561.5624,529.2376
2023-09-22,523.0,525.0,522.0,522.0,514.8823852539062,29049309,544.2,39.0909,544.2,9.6223,563.4446,524.9554
2023-09-25,522.0,529.0,522.0,525.0,517.8414916992188,17116402,543.0,39.0909,543.0,10.4529,563.9058,522.0942
2023-09-26,521.0,524.0,519.0,519.0,511.9232482910156,26392692,541.35,35.3982,541.35,11.5087,564.3674,518.3326
2023-09-27,517.0,523.0,516.0,522.0,514.8823852539062,16846401,539.7,35.3982,539.7,11.8103,563.3206,516.0794
2023-09-28,523.0,525.0,520.0,523.0,515.8687744140625,19733331,538.4,37.963,538.4,12.1586,562.7172,514.0828
2023-10-02,530.0,534.0,528.0,533.0,525.7323608398438,25427911,537.65,43.5897,537.65,11.9968,561.6436,513.6564
2023-10-03,528.0,533.0,528.0,529.0,521.7869262695312,14490129,536.25,37.5,536.25,11.2291,558.7082,513.7918
2023-10-04,521.0,523.0,519.0,520.0,512.9096069335938,28358964,534.65,36.2069,534.65,11.1463,556.9426,512.3574
2023-10-05,523.0,529.0,523.0,528.0,520.800537109375,24945684,533.55,40.9836,533.55,10.6251,554.8002,512.2998
2023-10-06,530.0,533.0,529.0,532.0,524.74609375,15336587,533.05,45.7627,533.05,10.4402,553.9304,512.1696
2023-10-11,542.0,544.0,540.0,544.0,536.5823974609375,46639969,533.3,51.9685,533.3,10.648,554.596,512.004
2023-10-12,545.0,550.0,544.0,550.0,542.5006103515625,34161176,534.0,55.3846,534.0,11.2764,556.5528,511.4472
2023-10-13,550.0,554.0,548.0,553.0,545.4596557617188,31123496,534.45,53.6,534.45,11.8609,558.1718,510.7282
2023-10-16,546.0,547.0,542.0,545.0,537.56884765625,19875676,534.65,51.5385,534.65,12.01,558.67,510.63
2023-10-17,550.0,552.0,548.0,551.0,543.4869995117188,18364998,534.7,50.3937,534.7,12.0791,558.8582,510.5418
2023-10-18,549.0,549.0,540.0,540.0,532.636962890625,26418940,533.8,43.0769,533.8,10.8608,555.5216,512.0784
2023-10-19,540.0,548.0,540.0,546.0,538.5551147460938,22881262,534.1,52.5424,534.1,11.1209,556.3418,511.8582
2023-10-20,549.0,556.0,546.0,556.0,548.4187622070312,45984177,535.0,57.1429,535.0,12.1352,559.2704,510.7296
